,cluster,ticker,company
0,0,A,Agilent Technologies
1,2,AAL,American Airlines Group
2,0,AAPL,Apple Inc.
3,2,ABBV,AbbVie
4,0,ABT,Abbott
5,0,ACN,Accenture
6,0,ADBE,Adobe Inc.
7,2,ADI,Analog Devices
8,1,ADM,Archer-Daniels-Midland
9,0,ADP,Automated Data Processing
10,0,ADSK,Autodesk
11,1,AEE,Ameren
12,1,AEP,American Electric Power
13,1,AES,AES Corporation
14,1,AFL,Aflac
15,2,AIG,American International Group
16,1,AIZ,Assurant
17,1,AJG,Arthur J. Gallagher & Co.
18,0,AKAM,Akamai
19,2,ALB,Albemarle Corporation
20,0,ALGN,Align Technology
21,2,ALK,Alaska Air Group
22,1,ALL,Allstate
23,2,ALLE,Allegion
24,2,AMAT,Applied Materials
25,1,AMCR,Amcor
26,0,AMD,Advanced Micro Devices
27,2,AME,Ametek
28,1,AMGN,Amgen
29,2,AMP,Ameriprise Financial
30,1,AMT,American Tower
31,0,AMZN,Amazon
32,0,ANET,Arista Networks
33,0,ANSS,Ansys
34,1,AON,Aon
35,2,AOS,A. O. Smith
36,2,APA,APA Corporation
37,1,APD,Air Products and Chemicals
38,2,APH,Amphenol
39,2,APTV,Aptiv
40,1,ARE,Alexandria Real Estate Equities
41,1,ATO,Atmos Energy
42,1,AVB,AvalonBay Communities
43,2,AVGO,Broadcom Inc.
44,2,AVY,Avery Dennison
45,1,AWK,American Water Works
46,2,AXP,American Express
47,1,AZO,AutoZone
48,2,BA,Boeing
49,2,BAC,Bank of America
50,1,BALL,Ball Corporation
51,1,BAX,Baxter International
52,2,BBWI,"Bath & Body Works, Inc."
53,2,BBY,Best Buy
54,1,BDX,Becton Dickinson
55,2,BEN,Franklin Templeton
56,2,BIIB,Biogen
57,0,BIO,Bio-Rad
58,2,BK,Bank of New York Mellon
59,2,BKNG,Booking Holdings
60,2,BKR,Baker Hughes
61,2,BLK,BlackRock
62,1,BMY,Bristol Myers Squibb
63,0,BR,Broadridge Financial Solutions
64,1,BRO,Brown & Brown
65,0,BSX,Boston Scientific
66,2,BWA,BorgWarner
67,1,BXP,Boston Properties
68,2,C,Citigroup
69,1,CAG,Conagra Brands
70,2,CAH,Cardinal Health
71,2,CAT,Caterpillar Inc.
72,1,CB,Chubb Limited
73,1,CBOE,Cboe Global Markets
74,2,CBRE,CBRE Group
75,1,CCI,Crown Castle
76,2,CCL,Carnival
77,0,CDNS,Cadence Design Systems
78,0,CDW,CDW
79,2,CE,Celanese
80,2,CF,CF Industries
81,2,CFG,Citizens Financial Group
82,1,CHD,Church & Dwight
83,2,CHRW,CH Robinson
84,1,CHTR,Charter Communications
85,2,CI,Cigna
86,1,CINF,Cincinnati Financial
87,1,CL,Colgate-Palmolive
88,1,CLX,Clorox
89,2,CMA,Comerica
90,1,CMCSA,Comcast
91,1,CME,CME Group
92,1,CMG,Chipotle Mexican Grill
93,2,CMI,Cummins
94,1,CMS,CMS Energy
95,0,CNC,Centene Corporation
96,1,CNP,CenterPoint Energy
97,2,COF,Capital One
98,0,COO,CooperCompanies
99,2,COP,ConocoPhillips
100,1,COST,Costco
101,1,CPB,Campbell Soup Company
102,0,CPRT,Copart
103,1,CPT,Camden Property Trust
104,0,CRL,Charles River Laboratories
105,0,CRM,Salesforce
106,0,CSCO,Cisco
107,2,CSX,CSX
108,0,CTAS,Cintas
109,0,CTLT,Catalent
110,2,CTRA,Coterra
111,2,CTSH,Cognizant
112,1,CVS,CVS Health
113,2,CVX,Chevron Corporation
114,0,CZR,Caesars Entertainment
115,1,D,Dominion Energy
116,2,DAL,Delta Air Lines
117,2,DD,DuPont
118,2,DE,John Deere
119,2,DFS,Discover Financial
120,1,DG,Dollar General
121,1,DGX,Quest Diagnostics
122,1,DHI,DR Horton
123,1,DHR,Danaher Corporation
124,1,DIS,Walt Disney
125,1,DLR,Digital Realty
126,1,DLTR,Dollar Tree
127,2,DOV,Dover Corporation
128,1,DPZ,Domino's
129,1,DRI,Darden Restaurants
130,1,DTE,DTE Energy
131,1,DUK,Duke Energy
132,2,DVA,DaVita Inc.
133,2,DVN,Devon Energy
134,0,DXCM,Dexcom
135,0,EA,Electronic Arts
136,2,EBAY,eBay
137,1,ECL,Ecolab
138,1,ED,Consolidated Edison
139,1,EFX,Equifax
140,1,EIX,Edison International
141,1,EL,Estée Lauder Companies (The)
142,1,ELV,Elevance Health
143,2,EMN,Eastman Chemical Company
144,2,EMR,Emerson Electric
145,3,ENPH,Enphase
146,2,EOG,EOG Resources
147,0,EPAM,EPAM Systems
148,1,EQIX,Equinix
149,1,EQR,Equity Residential
150,1,ES,Eversource
151,1,ESS,Essex Property Trust
152,2,ETN,Eaton Corporation
153,1,ETR,Entergy
154,0,ETSY,Etsy
155,1,EVRG,Evergy
156,0,EW,Edwards Lifesciences
157,1,EXC,Exelon
158,2,EXPD,Expeditors International
159,2,EXPE,Expedia Group
160,1,EXR,Extra Space Storage
161,2,F,Ford Motor Company
162,2,FANG,Diamondback Energy
163,2,FAST,Fastenal
164,2,FCX,Freeport-McMoRan
165,1,FDS,FactSet
166,2,FDX,FedEx
167,1,FE,FirstEnergy
168,2,FFIV,"F5, Inc."
169,1,FIS,Fidelity National Information Services
170,2,FITB,Fifth Third Bank
171,0,FLT,Fleetcor
172,2,FMC,FMC Corporation
173,1,FRT,Federal Realty
174,0,FTNT,Fortinet
175,2,FTV,Fortive
176,2,GD,General Dynamics
177,2,GE,General Electric
178,2,GILD,Gilead Sciences
179,1,GIS,General Mills
180,2,GL,Globe Life
181,2,GLW,Corning Inc.
182,2,GM,General Motors
183,2,GNRC,Generac
184,0,GOOG,Alphabet Inc. (Class C)
185,0,GOOGL,Alphabet Inc. (Class A)
186,1,GPC,Genuine Parts Company
187,0,GPN,Global Payments
188,2,GRMN,Garmin
189,2,GS,Goldman Sachs
190,2,GWW,W. W. Grainger
191,2,HAL,Halliburton
192,2,HAS,Hasbro
193,2,HBAN,Huntington Bancshares
194,1,HCA,HCA Healthcare
195,2,HD,Home Depot (The)
196,2,HES,Hess Corporation
197,1,HIG,Hartford (The)
198,2,HII,Huntington Ingalls Industries
199,2,HLT,Hilton Worldwide
200,1,HOLX,Hologic
201,2,HON,Honeywell
202,2,HPE,Hewlett Packard Enterprise
203,2,HPQ,HP Inc.
204,1,HRL,Hormel Foods
205,1,HSIC,Henry Schein
206,2,HST,Host Hotels & Resorts
207,1,HSY,Hershey's
208,1,HUM,Humana
209,2,HWM,Howmet Aerospace
210,2,IBM,IBM
211,1,ICE,Intercontinental Exchange
212,0,IDXX,Idexx Laboratories
213,2,IEX,IDEX Corporation
214,1,IFF,International Flavors & Fragrances
215,0,ILMN,Illumina
216,0,INCY,Incyte
217,2,INTC,Intel
218,0,INTU,Intuit
219,2,IP,International Paper
220,2,IPG,Interpublic Group of Companies (The)
221,0,IQV,IQVIA
222,2,IR,Ingersoll Rand
223,1,IRM,Iron Mountain
224,0,ISRG,Intuitive Surgical
225,0,IT,Gartner
226,2,ITW,Illinois Tool Works
227,2,IVZ,Invesco
228,2,J,Jacobs Solutions
229,2,JBHT,J.B. Hunt
230,2,JCI,Johnson Controls
231,1,JKHY,Jack Henry & Associates
232,1,JNJ,Johnson & Johnson
233,2,JNPR,Juniper Networks
234,2,JPM,JPMorgan Chase
235,1,K,Kellanova
236,1,KDP,Keurig Dr Pepper
